Throughput in Audio Test,bandwidth (kB/s)
summit_ext4,116.08
summit_ext4,119.84
summit_ext4,119.9
summit_ext4,115.99
summit_ext4,119.85
summit_ext4,111.41
summit_ext4,123.78
summit_ext4,119.85
summit_ext4,111.91
summit_ext4,119.84
summit_ext4,119.96
summit_ext4,115.99
summit_ext4,119.85
summit_ext4,119.91
summit_ext4,119.83
summit_ext4,111.77
summit_ext4,123.85
summit_ext4,115.85
summit_ext4,119.51
summit_ext4,115.21
summit_ext4,115.96
summit_ext4,123.71
summit_ext4,111.84
summit_ext4,119.94
summit_ext4,119.84
summit_ext4,119.77
summit_ext4,115.9
summit_ext4,119.87
summit_ext4,119.89
summit_ext4,112.18
summit_ext4,119.87
summit_ext4,123.47
summit_ext4,112.17
summit_ext4,119.67
summit_ext4,119.83
summit_ext4,112.15
summit_ext4,123.77
summit_ext4,116.09
summit_ext4,119.84
summit_ext4,115.37
summit_ext4,116.01
summit_ext4,123.73
summit_ext4,112.17
summit_ext4,119.91
summit_ext4,119.85
summit_ext4,112.08
summit_ext4,123.75
summit_ext4,119.51
summit_ext4,119.8
summit_ext4,112.17
summit_ext4,119.79
summit_ext4,123.41
summit_ext4,115.71
summit_ext4,115.47
summit_ext4,115.75
summit_ext4,123.07
summit_ext4,116.06
summit_ext4,116.02
summit_ext4,119.95
summit_ext4,119.76
summit_ext4,116
summit_ext4,119.8
summit_ext4,119.88
summit_ext4,112.11
summit_ext4,119.91
summit_ext4,123.63
summit_ext4,112.14
summit_ext4,119.85
summit_ext4,119.75
summit_ext4,112.19
summit_ext4,123.74
summit_ext4,119.8
summit_ext4,115.99
summit_ext4,115.88
summit_ext4,115.96
summit_ext4,123.23
summit_ext4,115.66
summit_ext4,115.98
summit_ext4,119.85
summit_ext4,119.63
summit_ext4,116.01
summit_ext4,120.01
summit_ext4,119.69
summit_ext4,112.24
summit_ext4,119.89
summit_ext4,123.78
summit_ext4,112.04
summit_ext4,119.82
summit_ext4,119.75
summit_ext4,115.76
summit_ext4,119.87
summit_ext4,116.02
summit_ext4,119.82
summit_ext4,116.01
summit_ext4,116.05
summit_ext4,123.58
summit_ext4,112.13
summit_ext4,119.84
summit_ext4,119.94
summit_ext4,112.11
summit_ext4,123.77
summit_ext4,119.47
summit_ext4,119.91
summit_ext4,112.28
summit_ext4,119.84
summit_ext4,123.66
summit_ext4,112.08
summit_ext4,119.91
summit_ext4,119.87
summit_ext4,116.11
summit_ext4,119.25
summit_ext4,115.97
summit_ext4,119.84
summit_ext4,116.04
summit_ext4,115.96
summit_ext4,123.18
summit_ext4,112.13
summit_ext4,119.71
summit_ext4,119.83
summit_ext4,119.57
summit_ext4,119.86
summit_ext4,119.81
summit_ext4,119.81
summit_ext4,112.21
summit_ext4,119.91
summit_ext4,123.63
summit_ext4,112.1
summit_ext4,119.88
summit_ext4,116.05
summit_ext4,119.51
summit_ext4,119.76
summit_ext4,116.06
summit_ext4,119.92
summit_ext4,112.2
summit_ext4,119.86
summit_ext4,123.83
summit_ext4,112.15
summit_ext4,119.85
summit_ext4,119.58
summit_ext4,119.74
summit_ext4,115.97
summit_ext4,119.77
summit_ext4,119.83
summit_ext4,112.1
summit_ext4,119.86
summit_ext4,127.58
summit_ext4,112.05
summit_ext4,119.91
summit_ext4,115.77
summit_ext4,116.05
summit_ext4,123.75
summit_ext4,116.06
summit_ext4,120.03
summit_ext4,112.12
summit_ext4,123.73
summit_ext4,119.77
summit_ext4,112.16
summit_ext4,119.85
summit_ext4,119.79
summit_ext4,116.03
summit_ext4,119.8
summit_ext4,119.9
summit_ext4,112.11
summit_ext4,120.02
summit_ext4,123.72
summit_ext4,115.62
summit_ext4,115.86
summit_ext4,119.87
summit_ext4,116
summit_ext4,119.93
summit_ext4,116.01
summit_ext4,119.98
summit_ext4,115.39
summit_ext4,115.99
summit_ext4,123.85
summit_ext4,119.86
summit_ext4,112.11
summit_ext4,119.9
summit_ext4,119.77
summit_ext4,119.9
summit_ext4,115.96
summit_ext4,120.08
summit_ext4,112.12
summit_ext4,123.7
summit_ext4,119.73
summit_ext4,111.99
summit_ext4,119.62
summit_ext4,119.84
summit_ext4,119.87
summit_ext4,119.9
summit_ext4,119.82
summit_ext4,119.84
summit_ext4,111.34
summit_ext4,123.79
summit_ext4,116.02
summit_ext4,115.98
summit_ext4,119.78
summit_ext4,116.05
summit_ext4,123.81
summit_ext4,112.09
summit_ext4,119.78
summit_ext4,119.75
summit_ext4,111.47
summit_ext4,123.82
summit_ext4,119.91
summit_ext4,112.12
summit_ext4,119.89
summit_ext4,119.9
summit_ext4,123.81
summit_ext4,112.05
summit_ext4,119.88
summit_ext4,119.86
summit_ext4,112.19
summit_ext4,126.46
summit_ext4,115.81
summit_ext4,119.76
summit_ext4,115.98
summit_ext4,115.94
summit_ext4,123.69
summit_ext4,112.05
summit_ext4,119.83
summit_ext4,119.82
summit_ext4,119.79
summit_ext4,115.89
summit_ext4,119.84
summit_ext4,119.73
summit_ext4,112.01
summit_ext4,119.81
summit_ext4,123.56
summit_ext4,112.05
summit_ext4,119.74
summit_ext4,116
summit_ext4,123.71
summit_ext4,115.94
summit_ext4,116
summit_ext4,119.81
summit_ext4,111.55
summit_ext4,123.69
summit_ext4,119.87
summit_ext4,119.79
summit_ext4,112.04
summit_ext4,119.83
summit_ext4,123.71
summit_ext4,112.1
summit_ext4,119.77
summit_ext4,119.7
summit_ext4,112.07
summit_ext4,123.42
summit_ext4,119.75
summit_ext4,116.03
summit_ext4,115.89
summit_ext4,115.76
summit_ext4,123.64
summit_ext4,115.5
summit_ext4,115.9
summit_ext4,119.88
summit_ext4,119.84
summit_ext4,116.01
summit_ext4,119.83
summit_ext4,119.37
summit_ext4,112.06
summit_ext4,119.92
summit_ext4,127.6
summit_ext4,115.92
summit_ext4,115.56
summit_ext4,119.77
summit_ext4,115.97
summit_ext4,119.94
summit_ext4,115.36
summit_ext4,119.88
summit_ext4,119.68
summit_ext4,112.1
summit_ext4,123.78
summit_ext4,119.63
summit_ext4,112.11
summit_ext4,119.94
summit_ext4,119.8
summit_ext4,116.12
summit_ext4,119.83
summit_ext4,119.31
summit_ext4,119.74
summit_ext4,111.63
summit_ext4,123.63
summit_ext4,115.96
summit_ext4,119.63
summit_ext4,115.98
summit_ext4,115.94
summit_ext4,127.5
summit_ext4,112.13
summit_ext4,119.89
summit_ext4,119.96
summit_ext4,112
summit_ext4,123.73
summit_ext4,119.78
summit_ext4,119.87
summit_ext4,111.74
summit_ext4,119.85
summit_ext4,123.71
summit_ext4,112.05
summit_ext4,119.83
summit_ext4,116.04
summit_ext4,119.25
summit_ext4,119.89
summit_ext4,116
summit_ext4,119.74
summit_ext4,112.12
summit_ext4,119.55
summit_ext4,123.68
summit_ext4,112.23
summit_ext4,119.87
summit_ext4,119.56
summit_ext4,119.83
summit_ext4,119.9
summit_ext4,119.84
summit_ext4,119.86
summit_ext4,112.18
summit_ext4,119.91
summit_ext4,123.79
summit_ext4,112.07
summit_ext4,119.42
summit_ext4,116
summit_ext4,123.32
summit_ext4,115.91
summit_ext4,115.97
summit_ext4,119.76
summit_ext4,111.98
summit_ext4,123.63
summit_ext4,119.77
summit_ext4,119.68
summit_ext4,111.75
summit_ext4,119.84
summit_ext4,123.88
summit_ext4,111.32
summit_ext4,119.71
summit_ext4,119.74
summit_ext4,115.86
summit_ext4,119.81
summit_ext4,115.99
summit_ext4,119.86
summit_ext4,115.98
summit_ext4,115.88
summit_ext4,123.51
summit_ext4,119.71
summit_ext4,112.05
summit_ext4,119.77
summit_ext4,119.95
summit_ext4,115.97
summit_ext4,119.81
summit_ext4,119.87
summit_ext4,112.09
summit_ext4,119.85
summit_ext4,123.74
summit_ext4,112.1
summit_ext4,119.85
summit_ext4,119.86
summit_ext4,116.01
summit_ext4,119.95
summit_ext4,116.06
summit_ext4,116.17
summit_ext4,119.27
summit_ext4,119.1
summit_ext4,115.78
summit_ext4,119.91
summit_ext4,119.84
summit_ext4,119.95
summit_ext4,112.16
summit_ext4,123.72
summit_ext4,119.91
summit_ext4,112.13
summit_ext4,119.85
summit_ext4,119.81
summit_ext4,116.06
summit_ext4,119.89
summit_ext4,115.92
summit_ext4,116.02
summit_ext4,119.9
summit_ext4,119.94
summit_ext4,116
summit_ext4,116.05
summit_ext4,119.85
summit_ext4,119.77
summit_ext4,116.09
summit_ext4,119.82
summit_ext4,119.79
summit_ext4,112.18
summit_ext4,120.02
summit_ext4,123.71
summit_ext4,112.11
summit_ext4,119.87
summit_ext4,119.86
summit_ext4,112.12
summit_ext4,123.82
summit_ext4,119.98
summit_ext4,112.12
summit_ext4,119.88
summit_ext4,115.96
summit_ext4,123.73
summit_ext4,116.01
summit_ext4,115.84
summit_ext4,119.78
summit_ext4,116
summit_ext4,119.94
summit_ext4,119.91
summit_ext4,112.17
summit_ext4,119.96
summit_ext4,119.83
summit_ext4,115.96
summit_ext4,119.84
summit_ext4,119.54
summit_ext4,119.87
summit_ext4,112.15
summit_ext4,122.87
summit_ext4,119.33
summit_ext4,115.96
summit_ext4,116.04
summit_ext4,119.83
summit_ext4,119.79
summit_ext4,116.05
summit_ext4,116.03
summit_ext4,119.95
summit_ext4,116.07
summit_ext4,119.86
summit_ext4,119.48
summit_ext4,119.21
summit_ext4,112.12
summit_ext4,123.82
summit_ext4,119.17
summit_ext4,115.85
summit_ext4,115.94
summit_ext4,119.76
summit_ext4,119.9
summit_ext4,116.01
summit_ext4,119.76
summit_ext4,116.05
summit_ext4,116.12
summit_ext4,119.9
summit_ext4,120.07
summit_ext4,116.06
summit_ext4,116.05
summit_ext4,119.9
summit_ext4,116.08
summit_ext4,119.79
summit_ext4,119.84
summit_ext4,119.76
summit_ext4,111.25
summit_ext4,123.78
summit_ext4,119.93
summit_ext4,112.11
summit_ext4,119.99
summit_ext4,119.93
summit_ext4,116.04
summit_ext4,119.8
summit_ext4,115.99
summit_ext4,119.91
summit_ext4,115.91
summit_ext4,119.07
summit_ext4,119.93
summit_ext4,112.11
summit_ext4,119.69
summit_ext4,119.89
summit_ext4,123.79
summit_ext4,112.17
summit_ext4,119.2
summit_ext4,119.91
summit_ext4,112.23
summit_ext4,123.83
summit_ext4,119.86
summit_ext4,115.88
summit_ext4,115.6
summit_ext4,119.87
summit_ext4,119.81
summit_ext4,115.99
summit_ext4,115.89
summit_ext4,119.9
summit_ext4,116.05
summit_ext4,119.61
summit_ext4,119.64
summit_ext4,119.51
summit_ext4,112.08
summit_ext4,118.98
summit_ext4,123.72
summit_ext4,119.84
summit_ext4,112.23
summit_ext4,119.84
summit_ext4,115.95
summit_ext4,119.89
summit_ext4,119.86
summit_ext4,115.47
summit_ext4,115.92
summit_ext4,115.95
summit_ext4,123.67
summit_ext4,119.9
summit_ext4,111.47
summit_ext4,119.9
summit_ext4,119.54
summit_ext4,115.97
summit_ext4,119.73
summit_ext4,119.78
summit_ext4,119.82
summit_ext4,112.09
summit_ext4,123.92
summit_ext4,119.75
summit_ext4,112.07
summit_ext4,119.83
summit_ext4,119.76
summit_ext4,115.72
summit_ext4,119.78
summit_ext4,116.06
summit_ext4,119.86
summit_ext4,116.17
summit_ext4,119.92
summit_ext4,119.78
summit_ext4,112.16
summit_ext4,120
summit_ext4,123.71
summit_ext4,112.25
summit_ext4,119.93
summit_ext4,119.84
summit_ext4,112.16
summit_ext4,123.76
summit_ext4,119.46
summit_ext4,112.24
summit_ext4,119.87
summit_ext4,119.85
summit_ext4,119.86
summit_ext4,116.01
summit_ext4,116.01
summit_ext4,119.93
summit_ext4,116.01
summit_ext4,119.97
summit_ext4,119.9
summit_ext4,112.21
summit_ext4,119.93
summit_ext4,119.74
summit_ext4,116.06
summit_ext4,119.88
summit_ext4,119.9
summit_ext4,120.11
summit_ext4,119.85
summit_ext4,115.73
summit_ext4,119.79
summit_ext4,116.03
summit_ext4,115.93
summit_ext4,119.77
summit_ext4,119.8
summit_ext4,115.95
summit_ext4,115.94
summit_ext4,119.78
summit_ext4,119.82
summit_ext4,115.95
summit_ext4,119.86
summit_ext4,119.79
summit_ext4,112.09
summit_ext4,119.91
summit_ext4,127.59
summit_ext4,112.12
summit_ext4,119.85
summit_ext4,119.78
summit_ext4,112.21
summit_ext4,123.68
summit_ext4,119.69
summit_ext4,115.95
summit_ext4,115.9
summit_ext4,119.77
summit_ext4,119.88
summit_ext4,115.98
summit_ext4,115.91
summit_ext4,119.79
summit_ext4,115.98
summit_ext4,119.79
summit_ext4,119.79
summit_ext4,119.73
summit_ext4,112
summit_ext4,123.73
summit_ext4,119.87
summit_ext4,112.02
summit_ext4,119.74
summit_ext4,119.87
summit_ext4,115.92
summit_ext4,119.83
summit_ext4,119.71
summit_ext4,115.32
summit_ext4,115.88
summit_ext4,119.77
summit_ext4,119.84
summit_ext4,119.79
summit_ext4,112.07
summit_ext4,119.83
summit_ext4,123.43
summit_ext4,112.08
summit_ext4,119.8
summit_ext4,119.79
summit_ext4,112.1
summit_ext4,123.79
summit_ext4,119.87
summit_ext4,115.98
summit_ext4,115.96
summit_ext4,119.83
summit_ext4,119.85
summit_ext4,115.96
summit_ext4,115.93
summit_ext4,119.73
summit_ext4,115.99
summit_ext4,119.88
summit_ext4,119.76
summit_ext4,119.83
summit_ext4,112
summit_ext4,119.9
summit_ext4,123.79
summit_ext4,111.3
summit_ext4,119.7
summit_ext4,119.7
summit_ext4,119.7
summit_ext4,115.86
summit_ext4,119.78
summit_ext4,115.94
summit_ext4,115.99
summit_ext4,119.75
summit_ext4,119.81
summit_ext4,119.77
summit_ext4,111.78
summit_ext4,119.82
summit_ext4,119.77
summit_ext4,115.89
summit_ext4,119.88
summit_ext4,119.75
summit_ext4,112.09
summit_ext4,119.79
summit_ext4,126.6
summit_ext4,119.51
summit_ext4,112.16
summit_ext4,119.76
summit_ext4,115.92
summit_ext4,123.68
summit_ext4,115.89
summit_ext4,115.74
summit_ext4,119.86
summit_ext4,112.08
summit_ext4,123.62
summit_ext4,119.75
summit_ext4,119.77
summit_ext4,112.14
summit_ext4,119.79
summit_ext4,123.65
summit_ext4,112.12
summit_ext4,119.79
summit_ext4,119.82
summit_ext4,111.98
summit_ext4,123.28
summit_ext4,119.75
summit_ext4,115.9
summit_ext4,115.84
summit_ext4,123.64
summit_ext4,119.83
summit_ext4,115.79
summit_ext4,115.66
summit_ext4,119.77
summit_ext4,123.69
summit_ext4,112
summit_ext4,119.9
summit_ext4,119.84
summit_ext4,112.07
summit_ext4,123.69
summit_ext4,119.77
summit_ext4,115.93
summit_ext4,115.91
summit_ext4,119.82
summit_ext4,119.84
summit_ext4,115.97
summit_ext4,115.88
summit_ext4,119.8
summit_ext4,115.99
summit_ext4,119.81
summit_ext4,119.75
summit_ext4,119.69
summit_ext4,112.05
summit_ext4,119.88
summit_ext4,123.55
summit_ext4,111.99
summit_ext4,119.7
summit_ext4,119.46
summit_ext4,119.88
summit_ext4,115.87
summit_ext4,119.8
summit_ext4,116.04
summit_ext4,115.92
summit_ext4,119.31
summit_ext4,119.78
summit_ext4,119.77
summit_ext4,112.06
summit_ext4,119.83
summit_ext4,119.8
summit_ext4,115.94
summit_ext4,119.78
summit_ext4,119.75
summit_ext4,112.06
summit_ext4,119.65
summit_ext4,123.59
summit_ext4,119.71
summit_ext4,112.01
summit_ext4,119.74
summit_ext4,115.9
summit_ext4,119.81
summit_ext4,119.72
summit_ext4,115.94
summit_ext4,119.81
summit_ext4,111.97
summit_ext4,123.64
summit_ext4,119.72
summit_ext4,111.78
summit_ext4,119.78
summit_ext4,119.79
summit_ext4,123.8
summit_ext4,112.15
summit_ext4,119.54
summit_ext4,119.9
summit_ext4,93.73
summit_ext4,116.09
summit_ext4,119.92
summit_ext4,123.75
summit_ext4,115.1
summit_ext4,119.85
summit_ext4,116.03
summit_ext4,119.92
summit_ext4,115.8
summit_ext4,119.85
summit_ext4,119.99
summit_ext4,112.23
summit_ext4,119.49
summit_ext4,123.81
summit_ext4,112.14
summit_ext4,120.01
summit_ext4,119.85
summit_ext4,112.13
summit_ext4,123.79
summit_ext4,119.89
summit_ext4,112.13
summit_ext4,119.8
summit_ext4,119.91
summit_ext4,119.93
summit_ext4,116.01
summit_ext4,116.08
summit_ext4,119.92
summit_ext4,116
summit_ext4,119.93
summit_ext4,119.99
summit_ext4,112.18
summit_ext4,119.97
summit_ext4,119.83
summit_ext4,116.09
summit_ext4,119.88
summit_ext4,119.98
summit_ext4,112.21
summit_ext4,119.9
summit_ext4,123.75
summit_ext4,111.92
summit_ext4,119.87
summit_ext4,119.73
summit_ext4,119.87
summit_ext4,115.96
summit_ext4,119.87
summit_ext4,116.02
summit_ext4,116.15
summit_ext4,123.73
summit_ext4,116.12
summit_ext4,116.03
summit_ext4,116.07
summit_ext4,119.94
summit_ext4,119.91
summit_ext4,116.02
summit_ext4,119.92
summit_ext4,112.13
summit_ext4,119.91
summit_ext4,123.74
summit_ext4,112.15
summit_ext4,119.89
summit_ext4,119.94
summit_ext4,119.58
summit_ext4,116.03
summit_ext4,119.87
summit_ext4,119.81
summit_ext4,112.16
summit_ext4,119.85
summit_ext4,119.87
summit_ext4,115.88
summit_ext4,119.84
summit_ext4,115.99
summit_ext4,116.02
summit_ext4,119.96
summit_ext4,119.92
summit_ext4,119.9
summit_ext4,112.13
summit_ext4,120.02
summit_ext4,127.72
summit_ext4,112.18
summit_ext4,119.94
summit_ext4,119.92
summit_ext4,112.23
summit_ext4,123.72
summit_ext4,119.89
summit_ext4,112.18
summit_ext4,119.1
summit_ext4,119.9
summit_ext4,119.95
summit_ext4,115.98
summit_ext4,119.95
summit_ext4,116.04
summit_ext4,116.07
summit_ext4,119.87
summit_ext4,119.63
summit_ext4,116.16
summit_ext4,116.05
summit_ext4,119.93
summit_ext4,116.06
summit_ext4,119.88
summit_ext4,119.87
summit_ext4,112.13
summit_ext4,119.88
summit_ext4,123.8
summit_ext4,119.88
summit_ext4,111.53
summit_ext4,119.79
summit_ext4,119.87
summit_ext4,116.01
summit_ext4,119.91
summit_ext4,116.06
summit_ext4,116.08
summit_ext4,119.89
summit_ext4,119.96
summit_ext4,119.88
summit_ext4,111.24
summit_ext4,120.01
summit_ext4,119.93
summit_ext4,116.06
summit_ext4,119.91
summit_ext4,119.93
summit_ext4,111.9
summit_ext4,119.91
summit_ext4,123.72
summit_ext4,112.22
summit_ext4,119.8
summit_ext4,119.93
summit_ext4,119.99
summit_ext4,119.88
summit_ext4,119.83
summit_ext4,115.69
summit_ext4,116.02
summit_ext4,119.94
summit_ext4,119.9
summit_ext4,115.97
summit_ext4,116.12
summit_ext4,119.96
summit_ext4,116.06
summit_ext4,119.82
summit_ext4,119.83
summit_ext4,119.86
summit_ext4,111.86
summit_ext4,119.88
summit_ext4,123.3
summit_ext4,112.11
summit_ext4,119.82
summit_ext4,119.5
summit_ext4,119.88
summit_ext4,116.06
summit_ext4,119.89
summit_ext4,116.11
summit_ext4,115.6
summit_ext4,123.78
summit_ext4,119.92
summit_ext4,116.08
summit_ext4,116
summit_ext4,119.89
summit_ext4,116.1
summit_ext4,119.91
summit_ext4,119.65
summit_ext4,112.11
summit_ext4,119.84
summit_ext4,123.77
summit_ext4,119.18
summit_ext4,112.18
summit_ext4,119.94
summit_ext4,119.88
summit_ext4,119.01
summit_ext4,116.03
summit_ext4,119.89
summit_ext4,116.03
summit_ext4,115.99
summit_ext4,119.86
summit_ext4,119.9
summit_ext4,116.05
summit_ext4,116.02
summit_ext4,119.96
summit_ext4,116.02
summit_ext4,119.89
summit_ext4,119.81
summit_ext4,112.14
summit_sealfs,91.74
summit_sealfs,112.24
summit_sealfs,119.91
summit_sealfs,123.82
summit_sealfs,119.8
summit_sealfs,123.67
summit_sealfs,119.85
summit_sealfs,119.84
summit_sealfs,116.13
summit_sealfs,127.54
summit_sealfs,115.92
summit_sealfs,119.94
