Throughput on Navigation Test,bandwidth (kB/s)
summit_ext4,7.67
summit_ext4,15.44
summit_ext4,7.72
summit_ext4,15.44
summit_ext4,7.72
summit_ext4,15.44
summit_ext4,7.72
summit_ext4,11.5
summit_ext4,7.65
summit_ext4,15.36
summit_ext4,7.69
summit_ext4,15.38
summit_ext4,7.69
summit_ext4,15.37
summit_ext4,15.4
summit_ext4,7.69
summit_ext4,7.69
summit_ext4,15.38
summit_ext4,15.43
summit_ext4,7.72
summit_ext4,15.32
summit_ext4,7.66
summit_ext4,15.43
summit_ext4,7.65
summit_ext4,11.57
summit_ext4,7.72
summit_ext4,15.43
summit_ext4,7.72
summit_ext4,15.45
summit_ext4,19.31
summit_ext4,7.69
summit_ext4,7.73
summit_ext4,15.44
summit_ext4,15.37
summit_ext4,7.68
summit_ext4,15.38
summit_ext4,7.72
summit_ext4,15.45
summit_ext4,7.71
summit_ext4,15.41
summit_ext4,7.68
summit_ext4,11.58
summit_ext4,7.7
summit_ext4,15.37
summit_ext4,7.71
summit_ext4,15.44
summit_ext4,15.31
summit_ext4,7.65
summit_ext4,7.65
summit_ext4,15.32
summit_ext4,15.34
summit_ext4,7.68
summit_ext4,15.3
summit_ext4,7.66
summit_ext4,15.44
summit_ext4,7.69
summit_ext4,11.58
summit_ext4,7.65
summit_ext4,15.29
summit_ext4,7.63
summit_ext4,15.3
summit_ext4,7.67
summit_ext4,15.44
summit_ext4,7.72
summit_ext4,15.44
summit_ext4,15.44
summit_ext4,7.72
summit_ext4,7.73
summit_ext4,15.44
summit_ext4,7.71
summit_ext4,15.44
summit_ext4,7.72
summit_ext4,15.46
summit_ext4,7.73
summit_ext4,15.44
summit_ext4,19.28
summit_ext4,7.73
summit_ext4,7.72
summit_ext4,15.45
summit_ext4,11.59
summit_ext4,7.7
summit_ext4,15.46
summit_ext4,7.73
summit_ext4,15.45
summit_ext4,7.72
summit_ext4,15.43
summit_ext4,7.72
summit_ext4,15.44
summit_ext4,7.73
summit_ext4,15.45
summit_ext4,15.44
summit_ext4,7.73
summit_ext4,15.44
summit_ext4,7.73
summit_ext4,15.44
summit_ext4,7.68
summit_ext4,15.46
summit_ext4,7.72
summit_ext4,15.44
summit_ext4,3.86
summit_ext4,15.44
summit_ext4,7.73
summit_ext4,15.47
summit_ext4,7.73
summit_ext4,15.42
summit_ext4,7.73
summit_ext4,15.43
summit_ext4,15.45
summit_ext4,7.72
summit_ext4,15.44
summit_ext4,7.72
summit_ext4,11.6
summit_ext4,7.72
summit_ext4,15.45
summit_ext4,7.72
summit_ext4,15.44
summit_ext4,7.72
summit_ext4,15.44
summit_ext4,7.72
summit_ext4,15.44
summit_ext4,7.72
summit_ext4,15.42
summit_ext4,15.46
summit_ext4,7.72
summit_ext4,15.44
summit_ext4,7.72
summit_ext4,15.43
summit_ext4,7.71
summit_ext4,15.45
summit_ext4,7.72
summit_ext4,11.57
summit_ext4,7.72
summit_ext4,19.23
summit_ext4,7.74
summit_ext4,15.45
summit_ext4,7.73
summit_ext4,15.44
summit_ext4,7.72
summit_ext4,11.58
summit_ext4,7.72
summit_ext4,15.46
summit_ext4,7.72
summit_ext4,15.39
summit_ext4,15.44
summit_ext4,7.72
summit_ext4,7.73
summit_ext4,15.45
summit_ext4,15.45
summit_ext4,7.72
summit_ext4,15.44
summit_ext4,7.72
summit_ext4,11.57
summit_ext4,7.72
summit_ext4,15.46
summit_ext4,7.72
summit_ext4,15.45
summit_ext4,7.72
summit_ext4,15.44
summit_ext4,15.38
summit_ext4,7.69
summit_ext4,7.69
summit_ext4,15.44
summit_ext4,15.45
summit_ext4,7.72
summit_ext4,15.43
summit_ext4,7.72
summit_ext4,15.37
summit_ext4,7.69
summit_ext4,11.53
summit_ext4,7.72
summit_ext4,15.41
summit_ext4,7.69
summit_ext4,15.37
summit_ext4,7.72
summit_ext4,15.44
summit_ext4,15.4
summit_ext4,7.65
summit_ext4,7.66
summit_ext4,15.46
summit_ext4,11.47
summit_ext4,7.65
summit_ext4,15.3
summit_ext4,7.62
summit_ext4,15.28
summit_ext4,7.65
summit_ext4,15.46
summit_ext4,15.45
summit_ext4,7.66
summit_ext4,15.32
summit_ext4,7.65
summit_ext4,15.38
summit_ext4,7.66
summit_ext4,15.39
summit_ext4,7.69
summit_ext4,15.41
summit_ext4,7.71
summit_ext4,15.42
summit_ext4,15.38
summit_ext4,7.73
summit_ext4,15.44
summit_ext4,7.72
summit_ext4,7.72
summit_ext4,15.44
summit_ext4,15.44
summit_ext4,7.72
summit_ext4,15.45
summit_ext4,7.73
summit_ext4,15.43
summit_ext4,7.72
summit_ext4,15.43
summit_ext4,7.72
summit_ext4,15.45
summit_ext4,3.84
summit_ext4,15.44
summit_ext4,15.44
summit_ext4,7.72
summit_ext4,15.34
summit_ext4,7.73
summit_ext4,15.43
summit_ext4,7.72
summit_ext4,15.45
summit_ext4,7.72
summit_ext4,15.45
summit_ext4,7.71
summit_ext4,15.46
summit_ext4,15.45
summit_ext4,7.72
summit_ext4,7.72
summit_ext4,19.29
summit_ext4,15.44
summit_ext4,7.7
summit_ext4,15.43
summit_ext4,7.73
summit_ext4,15.45
summit_ext4,7.73
summit_ext4,11.58
summit_ext4,7.73
summit_ext4,15.44
summit_ext4,7.72
summit_ext4,15.45
summit_ext4,7.72
summit_ext4,15.44
summit_ext4,15.44
summit_ext4,7.72
summit_ext4,15.43
summit_ext4,7.67
summit_ext4,15.45
summit_ext4,7.72
summit_ext4,15.45
summit_ext4,7.72
summit_ext4,15.44
summit_ext4,7.72
summit_ext4,15.44
summit_ext4,15.44
summit_ext4,7.72
summit_ext4,15.45
summit_ext4,7.72
summit_ext4,11.58
summit_ext4,7.72
summit_ext4,15.44
summit_ext4,7.72
summit_ext4,15.39
summit_ext4,7.72
summit_ext4,15.38
summit_ext4,15.45
summit_ext4,7.72
summit_ext4,3.86
summit_ext4,15.45
summit_ext4,7.73
summit_ext4,15.45
summit_ext4,15.45
summit_ext4,7.73
summit_ext4,15.45
summit_ext4,7.73
summit_ext4,15.35
summit_ext4,7.73
summit_ext4,15.44
summit_ext4,11.58
summit_ext4,15.42
summit_ext4,7.73
summit_ext4,15.47
summit_ext4,15.46
summit_ext4,7.73
summit_ext4,15.46
summit_ext4,7.72
summit_ext4,15.43
summit_ext4,7.72
summit_ext4,15.44
summit_ext4,7.72
summit_ext4,15.45
summit_ext4,7.72
summit_ext4,15.45
summit_ext4,11.58
summit_ext4,7.72
summit_ext4,7.73
summit_ext4,15.43
summit_ext4,15.45
summit_ext4,7.61
summit_ext4,15.45
summit_ext4,7.73
summit_ext4,15.46
summit_ext4,7.72
summit_ext4,15.43
summit_ext4,7.73
summit_ext4,15.34
summit_ext4,7.7
summit_ext4,15.45
summit_ext4,7.72
summit_ext4,15.45
summit_ext4,15.45
summit_ext4,7.72
summit_ext4,15.46
summit_ext4,3.87
summit_ext4,15.45
summit_ext4,7.73
summit_ext4,15.44
summit_ext4,15.45
summit_ext4,7.73
summit_ext4,15.34
summit_ext4,3.87
summit_ext4,15.47
summit_ext4,7.7
summit_ext4,15.45
summit_ext4,7.73
summit_ext4,15.46
summit_ext4,7.73
summit_ext4,15.46
summit_ext4,7.73
summit_ext4,15.46
summit_ext4,7.72
summit_ext4,15.45
summit_sealfs,7.74
summit_sealfs,15.35
summit_sealfs,15.45
summit_sealfs,7.72
summit_sealfs,15.44
summit_sealfs,7.72
summit_sealfs,15.45
summit_sealfs,7.72
summit_sealfs,15.45
summit_sealfs,7.73
summit_sealfs,15.45
summit_sealfs,15.46
summit_sealfs,7.73
summit_sealfs,15.45
summit_sealfs,7.73
summit_sealfs,15.45
summit_sealfs,7.72
summit_sealfs,15.44
summit_sealfs,7.72
summit_sealfs,15.41
summit_sealfs,7.72
summit_sealfs,7.67
summit_sealfs,15.45
summit_sealfs,11.59
summit_sealfs,7.72
summit_sealfs,15.43
summit_sealfs,7.67
summit_sealfs,15.35
summit_sealfs,7.72
summit_sealfs,15.44
summit_sealfs,7.73
summit_sealfs,15.45
summit_sealfs,7.73
summit_sealfs,15.37
summit_sealfs,15.44
summit_sealfs,7.73
summit_sealfs,15.45
summit_sealfs,7.73
summit_sealfs,15.37
summit_sealfs,7.72
summit_sealfs,15.44
summit_sealfs,7.72
summit_sealfs,15.45
summit_sealfs,7.72
summit_sealfs,15.45
summit_sealfs,15.45
summit_sealfs,3.86
summit_sealfs,15.46
summit_sealfs,7.72
summit_sealfs,15.44
summit_sealfs,7.73
summit_sealfs,15.47
summit_sealfs,11.59
summit_sealfs,15.4
summit_sealfs,7.73
summit_sealfs,11.59
summit_sealfs,7.73
summit_sealfs,15.45
summit_sealfs,7.73
summit_sealfs,15.45
summit_sealfs,7.73
summit_sealfs,15.38
summit_sealfs,7.73
summit_sealfs,15.45
summit_sealfs,7.72
summit_sealfs,15.45
summit_sealfs,11.59
summit_sealfs,15.49
summit_sealfs,7.72
summit_sealfs,15.45
summit_sealfs,15.45
summit_sealfs,7.73
summit_sealfs,15.44
summit_sealfs,11.59
summit_sealfs,15.45
summit_sealfs,7.72
summit_sealfs,15.44
summit_sealfs,15.44
summit_sealfs,7.73
summit_sealfs,7.71
summit_sealfs,11.59
summit_sealfs,15.45
summit_sealfs,7.73
summit_sealfs,15.46
summit_sealfs,7.73
summit_sealfs,15.46
summit_sealfs,7.71
summit_sealfs,15.45
summit_sealfs,7.71
summit_sealfs,15.43
summit_sealfs,7.72
summit_sealfs,15.43
summit_sealfs,15.45
summit_sealfs,7.72
summit_sealfs,7.72
summit_sealfs,11.59
summit_sealfs,15.45
summit_sealfs,7.67
summit_sealfs,15.41
summit_sealfs,7.73
summit_sealfs,15.46
summit_sealfs,7.73
summit_sealfs,15.44
summit_sealfs,15.46
summit_sealfs,7.72
summit_sealfs,7.7
summit_sealfs,15.45
summit_sealfs,7.73
summit_sealfs,15.39
summit_sealfs,15.46
summit_sealfs,7.67
summit_sealfs,11.57
summit_sealfs,7.72
summit_sealfs,15.45
summit_sealfs,7.73
summit_sealfs,15.42
summit_sealfs,7.71
summit_sealfs,15.36
summit_sealfs,7.73
summit_sealfs,15.44
summit_sealfs,15.45
summit_sealfs,7.72
summit_sealfs,7.73
summit_sealfs,15.46
summit_sealfs,15.46
summit_sealfs,3.86
summit_sealfs,7.73
summit_sealfs,15.45
summit_sealfs,7.73
summit_sealfs,15.45
summit_sealfs,11.58
summit_sealfs,15.45
summit_sealfs,15.45
summit_sealfs,7.72
summit_sealfs,7.73
summit_sealfs,15.45
summit_sealfs,7.72
summit_sealfs,15.45
summit_sealfs,15.46
summit_sealfs,7.73
summit_sealfs,15.44
summit_sealfs,3.86
summit_sealfs,15.45
summit_sealfs,7.72
summit_sealfs,15.44
summit_sealfs,7.72
summit_sealfs,15.41
summit_sealfs,7.72
summit_sealfs,15.44
summit_sealfs,7.72
summit_sealfs,15.36
summit_sealfs,7.72
summit_sealfs,15.46
summit_sealfs,7.72
summit_sealfs,15.46
summit_sealfs,7.73
summit_sealfs,15.45
summit_sealfs,15.44
summit_sealfs,7.72
summit_sealfs,15.44
summit_sealfs,3.86
summit_sealfs,15.45
summit_sealfs,7.72
summit_sealfs,15.43
summit_sealfs,7.68
summit_sealfs,15.45
summit_sealfs,7.73
summit_sealfs,15.43
summit_sealfs,7.73
summit_sealfs,15.44
summit_sealfs,7.72
summit_sealfs,15.45
summit_sealfs,7.72
summit_sealfs,15.44
summit_sealfs,15.45
summit_sealfs,7.72
summit_sealfs,15.42
summit_sealfs,7.71
summit_sealfs,15.44
summit_sealfs,11.58
summit_sealfs,15.44
summit_sealfs,3.86
summit_sealfs,15.44
summit_sealfs,7.72
summit_sealfs,7.72
summit_sealfs,15.44
summit_sealfs,7.73
summit_sealfs,15.41
summit_sealfs,7.72
summit_sealfs,15.46
summit_sealfs,15.45
summit_sealfs,7.7
summit_sealfs,7.72
summit_sealfs,15.44
summit_sealfs,15.43
summit_sealfs,7.72
summit_sealfs,15.44
summit_sealfs,7.72
summit_sealfs,15.43
summit_sealfs,7.72
summit_sealfs,15.45
summit_sealfs,7.74
summit_sealfs,15.43
summit_sealfs,15.45
summit_sealfs,7.72
summit_sealfs,15.43
summit_sealfs,7.72
summit_sealfs,15.43
summit_sealfs,7.72
summit_sealfs,15.44
summit_sealfs,7.72
summit_sealfs,15.45
summit_sealfs,7.72
summit_sealfs,15.45
summit_sealfs,15.38
summit_sealfs,7.72
summit_sealfs,15.45
summit_sealfs,3.86
summit_sealfs,7.72
summit_sealfs,15.47
summit_sealfs,15.45
summit_sealfs,7.73
summit_sealfs,7.73
summit_sealfs,15.45
summit_sealfs,15.45
summit_sealfs,7.73
summit_sealfs,15.46
summit_sealfs,7.73
summit_sealfs,15.45
summit_sealfs,3.86
summit_sealfs,15.45
summit_sealfs,7.71
summit_sealfs,15.45
summit_sealfs,7.73
summit_sealfs,15.44
summit_sealfs,15.45
summit_sealfs,7.72
summit_sealfs,15.46
summit_sealfs,7.71
summit_sealfs,15.44
summit_sealfs,7.72
summit_sealfs,15.45
summit_sealfs,3.86
summit_sealfs,15.44
summit_sealfs,15.44
summit_sealfs,7.72
summit_sealfs,15.39
summit_sealfs,7.72
summit_sealfs,15.46
summit_sealfs,7.73
summit_sealfs,15.34
summit_sealfs,11.59
summit_sealfs,15.44
summit_sealfs,15.44
summit_sealfs,7.72
summit_sealfs,3.86
summit_sealfs,15.45
summit_sealfs,15.41
summit_sealfs,7.73
summit_sealfs,15.46
summit_sealfs,7.73
summit_sealfs,15.47
summit_sealfs,7.73
summit_sealfs,15.45
summit_sealfs,7.72
summit_sealfs,15.44
summit_sealfs,7.72
summit_sealfs,15.45
summit_sealfs,7.67
summit_sealfs,15.38
summit_sealfs,15.35
summit_sealfs,7.72
summit_sealfs,15.32
summit_sealfs,7.73
summit_sealfs,15.44
summit_sealfs,7.71
summit_sealfs,15.44
summit_sealfs,15.44
summit_sealfs,7.72
summit_sealfs,7.72
summit_sealfs,15.45
summit_sealfs,15.44
summit_sealfs,7.7
summit_sealfs,15.36
summit_sealfs,7.72
summit_sealfs,11.58
summit_sealfs,7.63
summit_sealfs,15.31
summit_sealfs,7.73
summit_sealfs,15.44
summit_sealfs,7.72
summit_sealfs,15.33
summit_sealfs,7.72
summit_sealfs,15.44
summit_sealfs,7.65
summit_sealfs,15.32
summit_sealfs,7.65
summit_sealfs,15.32
summit_sealfs,15.3
summit_sealfs,11.52
summit_sealfs,3.83
summit_sealfs,15.45
summit_sealfs,15.46
summit_sealfs,7.68
summit_sealfs,15.36
summit_sealfs,7.66
summit_sealfs,15.38
summit_sealfs,7.72
summit_sealfs,15.36
summit_sealfs,15.38
summit_sealfs,7.72
summit_sealfs,3.86
summit_sealfs,15.44
summit_sealfs,15.44
summit_sealfs,7.72
summit_sealfs,15.37
summit_sealfs,7.72
summit_sealfs,15.45
summit_sealfs,7.68
summit_sealfs,15.44
summit_sealfs,7.72
summit_sealfs,15.38
summit_sealfs,7.69
summit_sealfs,15.37
summit_sealfs,7.68
summit_sealfs,15.45
summit_sealfs,15.44
summit_sealfs,7.73
summit_sealfs,15.41
